target,source,Coste,player
Brighton,RSC Anderlecht,"20,00 mill. €",Bart VerbruggenB. Verbruggen
Brighton,Fiorentina,"16,15 mill. €",IgorIgor
Brighton,Boca Juniors,"9,15 mill. €",Valentín BarcoV. Barco
Brighton,FCV Farul,"3,00 mill. €",Adrian MaziluA. Mazilu
Brighton,Liverpool,Libre,James MilnerJ. Milner
Brighton,Bor. Dortmund,Libre,Mahmoud DahoudM. Dahoud
Brighton,FC Barcelona,Cesión,Ansu FatiAnsu Fati
Brighton,Brighton U21,-,Ed TurnsEd Turns
Brighton,Brighton U21,-,Reda KhadraR. Khadra
Brighton,Brighton U21,-,Marc LeonardM. Leonard
Brighton,Brighton U21,-,Jensen WeirJ. Weir
Brighton,Brighton U21,-,Jack HinshelwoodJ. Hinshelwood
Brighton,Brighton U21,-,Andrew MoranA. Moran
Brighton,Brighton U21,-,Carl RushworthC. Rushworth
Brighton,Coventry City,Fin de cesión 04/01/2024,Yasin AyariY. Ayari
Brighton,Port Vale,Fin de cesión 31/05/2024,Jensen WeirJ. Weir
Brighton,Rangers FC,Fin de cesión 31/05/2024,Abdallah SimaA. Sima
Brighton,Blackburn,Fin de cesión 31/05/2024,Andrew MoranA. Moran
Brighton,F. Düsseldorf,Fin de cesión 30/06/2023,Michal KarbownikM. Karbownik
Brighton,Blackburn,Fin de cesión 31/05/2024,Yasin AyariY. Ayari
Brighton,Swansea City,Fin de cesión 31/05/2024,Carl RushworthC. Rushworth
Brighton,Crewe Alexandra,Fin de cesión 31/05/2024,Ed TurnsEd Turns
Brighton,Union SG,Fin de cesión 30/06/2023,Simon AdingraS. Adingra
Brighton,FC Basilea,Fin de cesión 30/06/2023,Andi ZeqiriA. Zeqiri
Brighton,Northampton,Fin de cesión 31/05/2024,Marc LeonardM. Leonard
Brighton,Angers SCO,Fin de cesión 30/06/2023,Abdallah SimaA. Sima
Brighton,Leyton Orient,Fin de cesión 31/01/2024,Ed TurnsEd Turns
Brighton,Ipswich,Fin de cesión 31/05/2024,Jeremy SarmientoJ. Sarmiento
Brighton,Blackpool,Fin de cesión 01/01/2024,Jensen WeirJ. Weir
