,target,source,Coste,player
0,Coventry City,Burnley,"2,30 mill. €",Bobby ThomasB. Thomas
1,Hoffenheim,Burnley,"Coste de préstamo: 1,50 mill. €",Wout WeghorstW. Weghorst
2,FC Portsmouth,Burnley,Libre,Will NorrisW. Norris
3,Norwich,Burnley,Libre,Ashley BarnesA. Barnes
4,Hull City,Burnley,Préstamo,Scott TwineS. Twine
5,St. Johnstone,Burnley,Préstamo,Dara CostelloeD. Costelloe
6,Stoke City,Burnley,Préstamo,Luke McNallyL. McNally
7,Sin equipo,Burnley,-,Matthew LowtonM. Lowton
8,Aarhus GF,Burnley,Préstamo,Bailey Peacock-FarrellB. Peacock-Farrell
9,Bor. M'gladbach,Burnley,Fin de préstamo 30/06/2023,Jordan BeyerJ. Beyer
0,Chelsea,Brighton,"116,00 mill. €",Moisés CaicedoM. Caicedo
1,Chelsea,Southampton,"62,10 mill. €",Roméo LaviaR. Lavia
2,Chelsea,RB Leipzig,"60,00 mill. €",Christopher NkunkuC. Nkunku
3,Chelsea,Manchester City,"47,00 mill. €",Cole PalmerC. Palmer
4,Chelsea,Mónaco,"45,00 mill. €",Axel DisasiA. Disasi
5,Chelsea,Villarreal CF,"37,00 mill. €",Nicolas JacksonN. Jackson
6,Chelsea,Rennes,"27,00 mill. €",Lesley UgochukwuL. Ugochukwu
7,Chelsea,Brighton,"23,00 mill. €",Robert SánchezR. Sánchez
8,Chelsea,Santos,"16,00 mill. €",Deivid WashingtonDeivid Washington
9,Chelsea,New England,"16,00 mill. €",Djordje PetrovicD. Petrovic
10,Chelsea,Santos,"15,00 mill. €",ÂngeloÂngelo
11,Chelsea,Benfica B,Libre,Diego MoreiraD. Moreira
12,Chelsea,Chelsea U21,-,Lewis HallL. Hall
13,Chelsea,Chelsea U21,-,Ian MaatsenI. Maatsen
14,Chelsea,Chelsea U21,-,Levi ColwillL. Colwill
15,Chelsea,Mónaco,Fin de préstamo 30/06/2023,Malang SarrM. Sarr
16,Chelsea,Inter,Fin de préstamo 30/06/2023,Romelu LukakuR. Lukaku
17,Chelsea,B. Leverkusen,Fin de préstamo 30/06/2023,Callum Hudson-OdoiC. Hudson-Odoi
18,Chelsea,AC Milan,Fin de préstamo 30/06/2023,Tiemoué BakayokoT. Bakayoko
19,Chelsea,Spezia,Fin de préstamo 30/06/2023,Ethan AmpaduE. Ampadu
20,Chelsea,Nottm Forest,Fin de préstamo 31/05/2024,Andrey SantosAndrey Santos
21,Chelsea,Newcastle Utd.,Fin de préstamo 31/05/2024,Lewis HallL. Hall
22,Chelsea,Lyon,Fin de préstamo 30/06/2023,Malo GustoM. Gusto
23,Chelsea,Vasco da Gama,Fin de préstamo 30/06/2023,Andrey SantosAndrey Santos
0,Arsenal,Chelsea,"75,00 mill. €",Kai HavertzK. Havertz
1,Manchester Utd.,Chelsea,"64,20 mill. €",Mason MountM. Mount
2,Manchester City,Chelsea,"29,10 mill. €",Mateo KovacicM. Kovacic
3,Al-Hilal,Chelsea,"23,00 mill. €",Kalidou KoulibalyK. Koulibaly
4,AC Milan,Chelsea,"20,00 mill. €",Christian PulisicC. Pulisic
5,Al-Ahli,Chelsea,"18,50 mill. €",Edouard MendyE. Mendy
6,AC Milan,Chelsea,"16,00 mill. €",Ruben Loftus-CheekR. Loftus-Cheek
7,Leeds,Chelsea,"8,10 mill. €",Ethan AmpaduE. Ampadu
8,AS Roma,Chelsea,"Coste de préstamo: 5,80 mill. €",Romelu LukakuR. Lukaku
9,Nottm Forest,Chelsea,"3,50 mill. €",Callum Hudson-OdoiC. Hudson-Odoi
10,Lyon,Chelsea,"Coste de préstamo: 2,80 mill. €",Diego MoreiraD. Moreira
11,Real Madrid,Chelsea,"Coste de préstamo: 1,00 mill. €",Kepa ArrizabalagaK. Arrizabalaga
12,Atlético Madrid,Chelsea,Libre,César AzpilicuetaC. Azpilicueta
13,Marsella,Chelsea,Libre,Pierre-Emerick AubameyangP. Aubameyang
14,Al-Ittihad Club,Chelsea,Libre,N'Golo KantéN. Kanté
15,PAOK,Chelsea,Libre,Abdul Rahman BabaA. Baba
16,FC Lorient,Chelsea,Libre,Tiemoué BakayokoT. Bakayoko
17,Galatasaray,Chelsea,Préstamo,Hakim ZiyechH. Ziyech
18,Unión Berlín,Chelsea,Préstamo,David Datro FofanaD. Fofana
19,KAS Eupen,Chelsea,Préstamo,Gabriel SloninaG. Slonina
20,Newcastle Utd.,Chelsea,Préstamo,Lewis HallL. Hall
21,Estrasburgo,Chelsea,Préstamo,ÂngeloÂngelo
22,Nottm Forest,Chelsea,Préstamo,Andrey SantosAndrey Santos
23,Juventus,Chelsea,Fin de préstamo 30/06/2023,Denis ZakariaD. Zakaria
24,Atlético Madrid,Chelsea,Fin de préstamo 30/06/2023,João FélixJoão Félix
0,Crystal Palace,Flamengo,"20,00 mill. €",Matheus FrançaMatheus França
1,Crystal Palace,Manchester Utd.,"17,50 mill. €",Dean HendersonD. Henderson
2,Crystal Palace,Arsenal,"1,20 mill. €",Rob HoldingR. Holding
3,Crystal Palace,Bournemouth,Libre,Jefferson LermaJ. Lerma
4,Crystal Palace,Manchester Utd.,Fin de préstamo 30/06/2023,Jack ButlandJ. Butland
5,Crystal Palace,Carlisle United,Fin de préstamo 14/01/2024,Luke PlangeL. Plange
0,Shabab Al-Ahli,Crystal Palace,Libre,Luka MilivojevicL. Milivojevic
1,Rangers FC,Crystal Palace,Libre,Jack ButlandJ. Butland
2,Galatasaray,Crystal Palace,Libre,Wilfried ZahaW. Zaha
3,RC Celta,Crystal Palace,Libre,Vicente GuaitaV. Guaita
4,Carlisle United,Crystal Palace,Préstamo,Luke PlangeL. Plange
5,Retirado,Crystal Palace,-,James McArthurJ. McArthur
0,Everton,Udinese,"25,00 mill. €",BetoBeto
1,Everton,Sporting Lisboa,"12,50 mill. €",ChermitiChermiti
2,Everton,Villarreal CF,"Coste de préstamo: 3,00 mill. €",Arnaut DanjumaA. Danjuma
3,Everton,Aston Villa,Libre,Ashley YoungA. Young
4,Everton,Leeds,Préstamo,Jack HarrisonJ. Harrison
5,Everton,Everton U21,-,Thomas CannonT. Cannon
6,Everton,Everton U21,-,Lewis DobbinL. Dobbin
7,Everton,SC Cambuur,Fin de préstamo 30/06/2023,João VirgíniaJ. Virgínia
8,Everton,PSV Eindhoven,Fin de préstamo 30/06/2023,Jarrad BranthwaiteJ. Branthwaite
9,Everton,Southampton,Fin de préstamo 31/05/2024,Mason HolgateM. Holgate
10,Everton,Besiktas,Fin de préstamo 30/06/2023,Dele AlliDele Alli
11,Everton,Trabzonspor,Fin de préstamo 30/06/2023,Jean-Philippe GbaminJ. Gbamin
12,Everton,Lille,Fin de préstamo 30/06/2023,André GomesA. Gomes
13,Everton,St-Étienne,Fin de préstamo 30/06/2023,Niels NkounkouN. Nkounkou
14,Everton,Juventus,Fin de préstamo 30/06/2023,Moise KeanM. Kean
0,Juventus,Everton,"30,00 mill. €",Moise KeanM. Kean
1,Fulham,Everton,"25,70 mill. €",Alex IwobiA. Iwobi
2,Leicester City,Everton,"8,80 mill. €",Thomas CannonT. Cannon
3,Coventry City,Everton,"7,00 mill. €",Ellis SimmsE. Simms
4,St-Étienne,Everton,"2,00 mill. €",Niels NkounkouN. Nkounkou
5,Sheff Utd,Everton,Libre,Tom DaviesT. Davies
6,Fiorentina,Everton,Libre,Yerry MinaY. Mina
7,QPR,Everton,Libre,Asmir BegovicA. Begovic
8,Brentford,Everton,Préstamo,Neal MaupayN. Maupay
9,Southampton,Everton,Préstamo,Mason HolgateM. Holgate
10,Sin equipo,Everton,-,Andros TownsendA. Townsend
11,Sin equipo,Everton,-,Jean-Philippe GbaminJ. Gbamin
12,Sporting Lisboa,Everton,Fin de préstamo 30/06/2023,Rúben VinagreR. Vinagre
13,Wolverhampton,Everton,Fin de préstamo 30/06/2023,Conor CoadyC. Coady
0,Fulham,Everton,"25,70 mill. €",Alex IwobiA. Iwobi
1,Fulham,Ajax,"22,50 mill. €",Calvin BasseyC. Bassey
2,Fulham,Leicester City,"13,00 mill. €",Timothy CastagneT. Castagne
3,Fulham,Wolverhampton,"6,40 mill. €",Raúl JiménezR. Jiménez
4,Fulham,Swansea City,"1,15 mill. €",Steven BendaS. Benda
5,Fulham,Wolverhampton,Libre,Adama TraoréA. Traoré
6,Fulham,AC Milan,Préstamo,Fodé Ballo-TouréF. Ballo-Touré
7,Fulham,Fulham U21,-,Luke HarrisL. Harris
8,Fulham,Fulham U21,-,Jay StansfieldJ. Stansfield
9,Fulham,Birmingham,Fin de préstamo 31/05/2024,Jay StansfieldJ. Stansfield
10,Fulham,Servette FC,Fin de préstamo 30/06/2023,Kevin MbabuK. Mbabu
11,Fulham,Alanyaspor,Fin de préstamo 30/06/2023,Ivan CavaleiroI. Cavaleiro
12,Fulham,Le Havre AC,Fin de préstamo 30/06/2023,Terence KongoloT. Kongolo
13,Fulham,Girona FC,Fin de préstamo 30/06/2023,Paulo GazzanigaP. Gazzaniga
14,Fulham,Niza,Fin de préstamo 30/06/2023,Joe BryanJoe Bryan
0,Al-Hilal,Fulham,"52,60 mill. €",Aleksandar MitrovicA. Mitrovic
1,Norwich,Fulham,Libre,Shane DuffyS. Duffy
2,Lille,Fulham,Libre,Ivan CavaleiroI. Cavaleiro
3,Wigan,Fulham,Libre,Steven SessegnonS. Sessegnon
4,Al-Jazira,Fulham,Libre,Neeskens KebanoN. Kebano
5,Millwall,Fulham,Libre,Joe BryanJoe Bryan
6,Girona FC,Fulham,Libre,Paulo GazzanigaP. Gazzaniga
7,Valenciennes FC,Fulham,Libre,Anthony KnockaertA. Knockaert
8,FC Augsburgo,Fulham,Préstamo,Kevin MbabuK. Mbabu
9,Birmingham,Fulham,Préstamo,Jay StansfieldJ. Stansfield
10,Rapid Viena,Fulham,Préstamo,Terence KongoloT. Kongolo
11,Shakhtar D.,Fulham,Fin de préstamo 30/06/2023,Manor SolomonM. Solomon
12,Arsenal,Fulham,Fin de préstamo 30/06/2023,Cédric SoaresC. Soares
13,PSG,Fulham,Fin de préstamo 30/06/2023,Layvin KurzawaL. Kurzawa
0,Liverpool,RB Leipzig,"70,00 mill. €",Dominik SzoboszlaiD. Szoboszlai
1,Liverpool,Brighton,"42,00 mill. €",Alexis Mac AllisterA. Mac Allister
2,Liverpool,Bayern Múnich,"40,00 mill. €",Ryan GravenberchR. Gravenberch
3,Liverpool,VfB Stuttgart,"20,00 mill. €",Wataru EndoW. Endo
4,Liverpool,FC Schalke 04,Fin de préstamo 30/06/2023,Sepp van den BergS. van den Berg
5,Liverpool,Aberdeen FC,Fin de préstamo 31/05/2024,Rhys WilliamsR. Williams
6,Liverpool,Preston NE,Fin de préstamo 31/05/2024,Calvin RamsayC. Ramsay
7,Liverpool,Celtic FC,Fin de préstamo 03/01/2024,Nathaniel PhillipsN. Phillips
0,Al-Ittihad Club,Liverpool,"46,70 mill. €",FabinhoFabinho
1,Al-Ettifaq,Liverpool,"14,00 mill. €",Jordan HendersonJ. Henderson
2,Besiktas,Liverpool,Libre,Alex Oxlade-ChamberlainA. Oxlade-Chamberlain
3,Werder Bremen,Liverpool,Libre,Naby KeïtaN. Keïta
4,Brighton,Liverpool,Libre,James MilnerJ. Milner
5,Al-Ahli,Liverpool,Libre,Roberto FirminoRoberto Firmino
6,RB Leipzig,Liverpool,Préstamo,Fábio CarvalhoF. Carvalho
7,Celtic FC,Liverpool,Préstamo,Nathaniel PhillipsN. Phillips
8,Mainz,Liverpool,Préstamo,Sepp van den BergS. van den Berg
9,Preston NE,Liverpool,Préstamo,Calvin RamsayC. Ramsay
10,Aberdeen FC,Liverpool,Préstamo,Rhys WilliamsR. Williams
11,Juventus,Liverpool,Fin de préstamo 30/06/2023,Arthur MeloArthur Melo
0,Luton,Wolverhampton,"5,85 mill. €",Ryan GilesR. Giles
1,Luton,Birmingham,"4,70 mill. €",Tahith ChongT. Chong
2,Luton,Barnsley FC,"3,50 mill. €",Mads AndersenM. Andersen
3,Luton,Stoke City,"2,90 mill. €",Jacob BrownJ. Brown
4,Luton,Blackburn,"2,90 mill. €",Thomas KaminskiT. Kaminski
5,Luton,Aston Villa,"2,90 mill. €",Marvelous NakambaM. Nakamba
6,Luton,Niza,Libre,Ross BarkleyR. Barkley
7,Luton,Rotherham,Libre,Chiedozie OgbeneC. Ogbene
8,Luton,Norwich,?,Tim KrulTim Krul
9,Luton,Manchester Utd.,?,Teden MengiT. Mengi
10,Luton,Arsenal,Préstamo,Albert Sambi LokongaA. Lokonga
11,Luton,Manchester City,Préstamo,Issa KaboréI. Kaboré
12,Luton,Charlton,Fin de préstamo 31/05/2024,Louie WatsonL. Watson
13,Luton,Millwall,Fin de préstamo 31/05/2024,Allan CampbellA. Campbell
14,Luton,Bromley,Fin de préstamo 31/05/2024,Aribim PeppleA. Pepple
15,Luton,Sutton Utd,Fin de préstamo 31/05/2024,Dion PereiraD. Pereira
16,Luton,Exeter City,Fin de préstamo 31/05/2024,Admiral MuskweA. Muskwe
17,Luton,Barnsley FC,Fin de préstamo 31/05/2024,John McAteeJ. McAtee
18,Luton,Colchester Utd.,Fin de préstamo 31/05/2024,Joe TaylorJ. Taylor
19,Luton,Rotherham,Fin de préstamo 31/05/2024,Fred OnyedinmaF. Onyedinma
20,Luton,Dundee United,Fin de préstamo 31/05/2024,Jack WaltonJ. Walton
21,Luton,Shrewsbury,Fin de préstamo 31/05/2024,Elliot ThorpeE. Thorpe
0,Derby,Luton,Libre,Sonny BradleyS. Bradley
1,Charlton,Luton,Libre,Harry IstedH. Isted
2,Bolton,Luton,?,Carlos MendesC. Mendes
3,Shrewsbury,Luton,Préstamo,Elliot ThorpeE. Thorpe
4,Bromley,Luton,Préstamo,Aribim PeppleA. Pepple
5,Charlton,Luton,Préstamo,Louie WatsonL. Watson
6,Barnsley FC,Luton,Préstamo,John McAteeJ. McAtee
7,Colchester Utd.,Luton,Préstamo,Joe TaylorJ. Taylor
8,Rotherham,Luton,Préstamo,Fred OnyedinmaF. Onyedinma
9,Exeter City,Luton,Préstamo,Admiral MuskweA. Muskwe
10,Millwall,Luton,Préstamo,Allan CampbellA. Campbell
11,Sutton Utd,Luton,Préstamo,Dion PereiraD. Pereira
