,target,source,Coste,player
14,Stade Brestois,FC Schalke 04,Fin de préstamo 30/06/2023,Moritz JenzM. Jenz
15,Stade Brestois,Pau FC,Fin de préstamo 30/06/2023,Quentin BoisgardQ. Boisgard
16,Stade Brestois,Rodez AF,Fin de préstamo 30/06/2023,Sambou SoumanoS. Soumano
17,Stade Brestois,Quevilly Rouen,Fin de préstamo 30/06/2023,Samuel LoricS. Loric
18,Stade Brestois,Nîmes,Fin de préstamo 30/06/2023,Pablo PagisP. Pagis
0,Niza,Stade Brestois,"22,50 mill. €",Terem MoffiT. Moffi
1,Rennes,Stade Brestois,"20,00 mill. €",Enzo Le FéeE. Le Fée
2,VfL Wolfsburgo,Stade Brestois,"8,00 mill. €",Moritz JenzM. Jenz
3,UD Almería,Stade Brestois,"7,50 mill. €",Ibrahima KonéI. Koné
4,Lille,Stade Brestois,200 mil €,Vito MannoneV. Mannone
5,Guingamp,Stade Brestois,Libre,Teddy BartoucheT. Bartouche
6,Quevilly Rouen,Stade Brestois,?,Samuel LoricS. Loric
7,Sunderland,Stade Brestois,?,Adil AouchicheA. Aouchiche
8,Quevilly Rouen,Stade Brestois,Préstamo,Sambou SoumanoS. Soumano
9,St-Étienne,Stade Brestois,Préstamo,Stéphane DiarraS. Diarra
10,Almere City,Stade Brestois,Préstamo,Yoann CathlineY. Cathline
11,Marsella,Stade Brestois,Préstamo,Bamo MeïtéB. Meïté
12,Lyon,Stade Brestois,Fin de préstamo 30/06/2023,Julian PollersbeckJ. Pollersbeck
13,Lyon,Stade Brestois,Fin de préstamo 30/06/2023,Romain FaivreR. Faivre
0,Estrasburgo,KAA Gante,"12,00 mill. €",Joseph OkumuJ. Okumu
1,Estrasburgo,Ajax,"12,00 mill. €",Mohamed DaramyM. Daramy
2,Estrasburgo,LASK,"12,00 mill. €",Keito NakamuraK. Nakamura
3,Estrasburgo,Union SG,"4,60 mill. €",Teddy TeumaT. Teuma
4,Estrasburgo,Angers SCO,"4,00 mill. €",Amine SalamaA. Salama
5,Estrasburgo,RB Salzburgo,"2,50 mill. €",Oumar DiakitéO. Diakité
6,Estrasburgo,Brighton,"1,90 mill. €",Reda KhadraR. Khadra
7,Estrasburgo,Red Star FC,Libre,Ludovic ButelleL. Butelle
8,Estrasburgo,Steve Biko FC,?,Adama BojangA. Bojang
9,Estrasburgo,Manchester City,Préstamo,Josh Wilson-EsbrandJ. Wilson-Esbrand
10,Estrasburgo,Stade Reims B,-,Thérence KoudouT. Koudou
11,Estrasburgo,Le Havre AC,Fin de préstamo 30/06/2023,Amir RichardsonA. Richardson
12,Estrasburgo,NK Istra,Fin de préstamo 30/06/2023,Dario MaresicD. Maresic
13,Estrasburgo,PSG,Fin de préstamo 30/06/2023,Hugo EkitikéH. Ekitiké
14,Estrasburgo,KV Oostende,Fin de préstamo 30/06/2023,Fraser HornbyF. Hornby
15,Estrasburgo,APOEL FC,Fin de préstamo 30/06/2023,Anastasios DonisA. Donis
16,Estrasburgo,Paris FC,Fin de préstamo 30/06/2023,Ilan KebbalI. Kebbal
17,Estrasburgo,RFC Seraing,Fin de préstamo 30/06/2023,Moustapha MbowM. Mbow
18,Estrasburgo,Melbourne City,Fin de préstamo 30/06/2023,Valon BerishaV. Berisha
19,Estrasburgo,KAS Eupen,Fin de préstamo 30/06/2023,Ibrahim DiakitéI. Diakité
20,Estrasburgo,Le Mans FC,Fin de préstamo 30/06/2023,N'Dri KoffiN. Koffi
21,Estrasburgo,Rodez AF,Fin de préstamo 30/06/2023,Martin AdelineM. Adeline
22,Estrasburgo,Torino,Fin de préstamo 30/06/2023,Andreaw GravillonA. Gravillon
23,Estrasburgo,Stade Brestois,Fin de préstamo 30/06/2023,Bradley LockoB. Locko
24,Estrasburgo,Estoril Praia,Fin de préstamo 30/06/2023,Rafik GuitaneR. Guitane
0,PSG,Estrasburgo,"28,50 mill. €",Hugo EkitikéH. Ekitiké
1,Nápoles,Estrasburgo,"12,00 mill. €",Jens CajusteJ. Cajuste
2,UD Almería,Estrasburgo,"6,50 mill. €",Dion LopyDion Lopy
3,RSC Anderlecht,Estrasburgo,"3,50 mill. €",Alexis FlipsA. Flips
4,Adana Demirspor,Estrasburgo,"2,50 mill. €",Andreaw GravillonA. Gravillon
5,Paris FC,Estrasburgo,"2,00 mill. €",Ilan KebbalI. Kebbal
6,Darmstadt 98,Estrasburgo,"1,80 mill. €",Fraser HornbyF. Hornby
7,Fortuna Sittard,Estrasburgo,500 mil €,Kaj SierhuisK. Sierhuis
8,Stade Brestois,Estrasburgo,500 mil €,Bradley LockoB. Locko
9,Paris FC,Estrasburgo,500 mil €,Moustapha MbowM. Mbow
10,Estoril Praia,Estrasburgo,250 mil €,Rafik GuitaneR. Guitane
11,APOEL FC,Estrasburgo,Libre,Anastasios DonisA. Donis
12,FC Sochaux,Estrasburgo,Libre,N'Dri KoffiN. Koffi
13,SC Bastia,Estrasburgo,Préstamo,Cheick KeitaC. Keita
14,NK Istra,Estrasburgo,?,Dario MaresicD. Maresic
15,FC Twente,Estrasburgo,?,Mitchell van BergenM. van Bergen
16,Adana Demirspor,Estrasburgo,?,Arbër ZeneliA. Zeneli
17,Stade Brestois,Estrasburgo,Préstamo,Kamory DoumbiaK. Doumbia
18,Pau FC,Estrasburgo,Préstamo,Thérence KoudouT. Koudou
19,FC Annecy,Estrasburgo,Préstamo,Martin AdelineM. Adeline
20,Sin equipo,Estrasburgo,-,Valon BerishaV. Berisha
21,Retirado,Estrasburgo,-,Nicolas PenneteauN. Penneteau
22,Arsenal,Estrasburgo,Fin de préstamo 30/06/2023,Folarin BalogunF. Balogun
23,Rosenborg,Estrasburgo,Fin de préstamo 03/08/2023,Noah Jean HolmN. Holm
24,Hertha Berlín,Estrasburgo,Fin de préstamo 30/06/2023,Myziane MaolidaM. Maolida
0,FC Nantes,Lillestrøm,"4,50 mill. €",Akor AdamsA. Adams
1,FC Nantes,Vit. Guimarães,"1,30 mill. €",Falaye SackoF. Sacko
2,FC Nantes,FK Sarajevo,150 mil €,Belmin DizdarevicB. Dizdarevic
3,FC Nantes,FC Zúrich,Libre,Becir OmeragicB. Omeragic
4,FC Nantes,OH Leuven,Libre,Mousa Al-TamariM. Al-Tamari
5,FC Nantes,Génova,Préstamo,Kelvin YeboahK. Yeboah
6,FC Nantes,Le Puy Foot,Fin de préstamo 30/06/2023,Sacha DelayeS. Delaye
7,FC Nantes,FC Thun,Fin de préstamo 30/06/2023,Gabriel BarèsG. Barès
0,Lens,FC Nantes,"30,00 mill. €",Elye WahiElye Wahi
1,Leicester City,FC Nantes,"7,50 mill. €",Stephy MavididiS. Mavididi
2,FK Polissya,FC Nantes,250 mil €,Béni MakouanaB. Makouana
3,CF Estrela,FC Nantes,Libre,Pedro MendesP. Mendes
4,Stade Briochin,FC Nantes,Libre,Thibault TamasT. Tamas
5,Macarthur,FC Nantes,Libre,Valère GermainV. Germain
6,Pau FC,FC Nantes,Libre,Bingourou KamaraB. Kamara
7,Concarneau,FC Nantes,Préstamo,Gabriel BarèsG. Barès
8,Sin equipo,FC Nantes,-,Matis CarvalhoM. Carvalho
9,Sin equipo,FC Nantes,-,Mathías SuárezM. Suárez
10,Club Brujas,FC Nantes,Fin de préstamo 30/06/2023,Faitout MaouassaF. Maouassa
11,Vit. Guimarães,FC Nantes,Fin de préstamo 30/06/2023,Falaye SackoF. Sacko
0,Le Havre AC,Standard Lieja,"4,50 mill. €",Aron DønnumA. Dønnum
1,Le Havre AC,NEC Nijmegen,"3,00 mill. €",Ibrahim CissokoI. Cissoko
2,Le Havre AC,Werder Bremen,"2,50 mill. €",Niklas SchmidtN. Schmidt
3,Le Havre AC,SC Bastia,"2,00 mill. €",Frank MagriF. Magri
4,Le Havre AC,New York,"1,00 mill. €",Cristian Cásseres Jr.C. Cásseres Jr.
5,Le Havre AC,CD Mirandés,Libre,César GelabertC. Gelabert
6,Le Havre AC,UD Las Palmas,?,Álex DomínguezÁ. Domínguez
7,Le Havre AC,Toulouse B,-,Bonota TraoréB. Traoré
8,Le Havre AC,Toulouse B,-,Christian Mawissa ElebiC. Mawissa Elebi
9,Le Havre AC,Toulouse B,-,Guillaume RestesG. Restes
10,Le Havre AC,Toulouse U19,-,Noah LahmadiN. Lahmadi
11,Le Havre AC,Toulouse U19,-,Noah EdjoumaN. Edjouma
12,Le Havre AC,Toulouse B,-,Justin LacombeJ. Lacombe
13,Le Havre AC,Botev Vratsa,Fin de préstamo 30/06/2023,Tom RapnouilT. Rapnouil
14,Le Havre AC,Stade Lavallois,Fin de préstamo 30/06/2023,Sam SannaSam Sanna
15,Le Havre AC,Botev Vratsa,Fin de préstamo 30/06/2023,Kléri SerberK. Serber
16,Le Havre AC,Sarpsborg 08,Fin de préstamo 31/12/2023,Kjetil HaugK. Haug
17,Le Havre AC,Pau FC,Fin de préstamo 30/06/2023,Yanis BegraouiY. Begraoui
18,Le Havre AC,Odense BK,Fin de préstamo 30/06/2023,Naatan SkyttäN. Skyttä
19,Le Havre AC,Chamois Niort,Fin de préstamo 30/06/2023,Junior FlemmingsJ. Flemmings
20,Le Havre AC,Quevilly Rouen,Fin de préstamo 30/06/2023,Mamady BangréM. Bangré
0,Eintracht,Le Havre AC,"10,00 mill. €",Farès ChaïbiF. Chaïbi
1,EC Bahia,Le Havre AC,"2,50 mill. €",Rafael RatãoRafael Ratão
2,AJ Auxerre,Le Havre AC,700 mil €,Ado OnaiwuA. Onaiwu
3,Stade Lavallois,Le Havre AC,Libre,Sam SannaSam Sanna
4,Charlotte,Le Havre AC,Libre,Brecht DejaegereB. Dejaegere
5,Lens,Le Havre AC,Libre,Stijn SpieringsS. Spierings
6,Watford,Le Havre AC,Libre,Rhys HealeyR. Healey
7,CSKA 1948,Le Havre AC,Libre,Tom RapnouilT. Rapnouil
8,Ajax,Le Havre AC,Libre,Branco van den BoomenB. van den Boomen
9,RSC Anderlecht,Le Havre AC,Libre,Maxime DupéM. Dupé
10,VfB Stuttgart,Le Havre AC,Préstamo,Anthony RouaultA. Rouault
11,Sarpsborg 08,Le Havre AC,Préstamo,Kjetil HaugK. Haug
12,Sparta Praga,Le Havre AC,Préstamo,Veljko BirmancevicV. Birmancevic
13,Vitesse,Le Havre AC,Préstamo,Said HamulicS. Hamulic
14,PAOK,Le Havre AC,Fin de préstamo 30/06/2023,Theocharis TsingarasT. Tsingaras
0,FC Metz,St-Étienne,"3,00 mill. €",Mahdi CamaraM. Camara
1,FC Metz,Stade Reims,500 mil €,Bradley LockoB. Locko
2,FC Metz,Waldh. Mannheim,Libre,Adrien LebeauA. Lebeau
3,FC Metz,Lille,Libre,Jonas MartinJ. Martin
4,FC Metz,Inter,Préstamo,Martín SatrianoM. Satriano
5,FC Metz,Marsella,Préstamo,Jordan AmaviJ. Amavi
6,FC Metz,Niza,Préstamo,Billal BrahimiB. Brahimi
7,FC Metz,Lens,Préstamo,Julien Le CardinalJ. Le Cardinal
8,FC Metz,Stade Reims,Préstamo,Kamory DoumbiaK. Doumbia
9,FC Metz,Concarneau,Fin de préstamo 30/06/2023,Axel CamblanA. Camblan
10,FC Metz,FC Schalke 04,Fin de préstamo 30/06/2023,Jere UronenJ. Uronen
11,FC Metz,SM Caen,Fin de préstamo 30/06/2023,Hianga'a MbockH. Mbock
0,Bor. M'gladbach,FC Metz,"8,00 mill. €",Franck HonoratF. Honorat
1,Charlotte,FC Metz,600 mil €,Jere UronenJ. Uronen
2,KAA Gante,FC Metz,Libre,Noah FadigaN. Fadiga
3,FC Nantes,FC Metz,Libre,Jean-Kévin DuverneJ. Duverne
4,FC Metz,FC Metz,?,Christophe HérelleC. Hérelle
5,Blackpool,FC Metz,Préstamo,Karamoko DembéléK. Dembélé
6,Rodez AF,FC Metz,Préstamo,Taïryk ArconteT. Arconte
7,SM Caen,FC Metz,Préstamo,Hianga'a MbockH. Mbock
8,Sin equipo,FC Metz,-,Loïc RémyL. Rémy
9,Sin equipo,FC Metz,-,Haris BelkeblaH. Belkebla
10,Talleres,FC Metz,Fin de préstamo 30/06/2023,Joaquín BlázquezJ. Blázquez
11,Stade Reims,FC Metz,Fin de préstamo 30/06/2023,Bradley LockoB. Locko
12,Mónaco,FC Metz,Fin de préstamo 30/06/2023,Félix LemaréchalF. Lemaréchal
13,G. Burdeos,FC Metz,Fin de préstamo 30/06/2023,Alberth ElisA. Elis
14,St-Étienne,FC Metz,Fin de préstamo 30/06/2023,Mahdi CamaraM. Camara
0,Athletic,Real Sociedad B,Libre,Javier MartónJ. Martón
1,Athletic,RCD Mallorca,Libre,Iñigo Ruiz de GalarretaI. Ruiz de Galarreta
2,Athletic,Bilbao Athletic,-,Adu AresAdu Ares
3,Athletic,Bilbao Athletic,-,Unai GómezU. Gómez
4,Athletic,Alavés,Fin de préstamo 30/06/2023,Asier VillalibreA. Villalibre
5,Athletic,SD Eibar,Fin de préstamo 30/06/2023,Peru NolaskoainP. Nolaskoain
6,Athletic,CD Mirandés,Fin de préstamo 30/06/2023,Nico SerranoN. Serrano
7,Athletic,FC Andorra,Fin de préstamo 30/06/2023,Álex PetxaÁ. Petxa
8,Athletic,CD Mirandés,Fin de préstamo 30/06/2023,Beñat PradosB. Prados
9,Athletic,SD Eibar,Fin de préstamo 30/06/2023,Imanol García de AlbénizI. García de Albéniz
10,Athletic,Burgos CF,Fin de préstamo 30/06/2023,Juan ArtolaJ. Artola
0,Levante UD,Athletic,Libre,Ander CapaA. Capa
1,FC Andorra,Athletic,Libre,Álex PetxaÁ. Petxa
2,RC Deportivo,Athletic,Libre,Mikel BalenziagaM. Balenziaga
3,Udinese,Athletic,Libre,Oier ZarragaO. Zarraga
4,SD Logroñés,Athletic,Libre,Ander IruAnder Iru
5,FC Barcelona,Athletic,Libre,Iñigo MartínezI. Martínez
6,CD Mirandés,Athletic,Préstamo,Javier MartónJ. Martón
7,SD Amorebieta,Athletic,Préstamo,Jon MorcilloJ. Morcillo
8,PEC Zwolle,Athletic,Préstamo,Nico SerranoN. Serrano
9,SD Eibar,Athletic,Préstamo,Unai VencedorU. Vencedor
10,Alcorcón,Athletic,Préstamo,Juan ArtolaJ. Artola
0,Atlético Madrid,FC Barcelona,"20,00 mill. €",Antoine GriezmannA. Griezmann
1,Atlético Madrid,Granada CF,"6,00 mill. €",Samu OmorodionS. Omorodion
2,Atlético Madrid,RC Celta,"5,00 mill. €",Javi GalánJ. Galán
3,Atlético Madrid,Racing Club,"2,70 mill. €",Santiago MouriñoS. Mouriño
4,Atlético Madrid,Leicester City,Libre,Caglar SöyüncüC. Söyüncü
5,Atlético Madrid,Chelsea,Libre,César AzpilicuetaC. Azpilicueta
6,Atlético Madrid,Rayo Vallecano,Fin de préstamo 30/06/2023,Sergio CamelloS. Camello
7,Atlético Madrid,Atl. Madrid B,-,Germán ValeraG. Valera
8,Atlético Madrid,Atl. Madrid B,-,Carlos MartínC. Martín
9,Atlético Madrid,Valencia CF,Fin de préstamo 30/06/2023,Samuel LinoS. Lino
10,Atlético Madrid,San Luis,Fin de préstamo 30/06/2023,Juan Manuel SanabriaJ. Sanabria
11,Atlético Madrid,Real Zaragoza,Fin de préstamo 30/06/2023,Giuliano SimeoneG. Simeone
12,Atlético Madrid,Real Zaragoza,Fin de préstamo 30/06/2023,Víctor MollejoV. Mollejo
13,Atlético Madrid,CD Tenerife,Fin de préstamo 30/06/2023,Borja GarcésB. Garcés
14,Atlético Madrid,UD Las Palmas,Fin de préstamo 30/06/2023,VitoloVitolo
15,Atlético Madrid,CA Osasuna,Fin de préstamo 30/06/2023,Manu SánchezM. Sánchez
16,Atlético Madrid,Girona FC,Fin de préstamo 30/06/2023,Rodrigo RiquelmeR. Riquelme
17,Atlético Madrid,Nottm Forest,Fin de préstamo 30/06/2023,Renan LodiR. Lodi
18,Atlético Madrid,Wolverhampton,Fin de préstamo 30/06/2023,Matheus CunhaM. Cunha
19,Atlético Madrid,São Paulo,Fin de préstamo 31/12/2023,Marcos PauloMarcos Paulo
20,Atlético Madrid,Chelsea,Fin de préstamo 30/06/2023,João FélixJoão Félix
21,Atlético Madrid,UD Ibiza,Fin de préstamo 30/06/2023,Javi SerranoJ. Serrano
0,Wolverhampton,Atlético Madrid,"50,00 mill. €",Matheus CunhaM. Cunha
1,Marsella,Atlético Madrid,"13,00 mill. €",Renan LodiR. Lodi
2,Marsella,Atlético Madrid,"8,00 mill. €",Geoffrey KondogbiaG. Kondogbia
3,Rayo Vallecano,Atlético Madrid,"5,00 mill. €",Sergio CamelloS. Camello
4,Wolverhampton,Atlético Madrid,Libre,Matt DohertyM. Doherty
5,RC Celta,Atlético Madrid,Libre,Manu SánchezM. Sánchez
6,Real Zaragoza,Atlético Madrid,Préstamo,Víctor MollejoV. Mollejo
7,San Luis,Atlético Madrid,?,Juan Manuel SanabriaJ. Sanabria
8,FC Barcelona,Atlético Madrid,Préstamo,João FélixJoão Félix
9,Alavés,Atlético Madrid,Préstamo,Giuliano SimeoneG. Simeone
10,CD Mirandés,Atlético Madrid,Préstamo,Carlos MartínC. Martín
11,Real Zaragoza,Atlético Madrid,Préstamo,Germán ValeraG. Valera
12,Real Zaragoza,Atlético Madrid,Préstamo,Santiago MouriñoS. Mouriño
13,Alavés,Atlético Madrid,Préstamo,Samu OmorodionS. Omorodion
14,Elche CF,Atlético Madrid,Préstamo,Borja GarcésB. Garcés
15,Sturm Graz,Atlético Madrid,Préstamo,Javi SerranoJ. Serrano
16,FC Barcelona,Atlético Madrid,Fin de préstamo 30/06/2023,Antoine GriezmannA. Griezmann
17,Tottenham,Atlético Madrid,Fin de préstamo 30/06/2023,Sergio ReguilónS. Reguilón
0,FC Barcelona,Girona FC,"3,40 mill. €",Oriol RomeuO. Romeu
1,FC Barcelona,Athletic,Libre,Iñigo MartínezI. Martínez
2,FC Barcelona,Manchester City,Libre,Ilkay GündoganI. Gündogan
3,FC Barcelona,Manchester City,Préstamo,João CanceloJ. Cancelo
4,FC Barcelona,Atlético Madrid,Préstamo,João FélixJoão Félix
5,FC Barcelona,Barça Atlètic,-,Julián AraujoJ. Araujo
6,FC Barcelona,Barça Atlètic,-,Chadi RiadC. Riad
7,FC Barcelona,Barça Atlètic,-,Álex ValleÁ. Valle
8,FC Barcelona,Barça Atlètic,-,Estanis PedrolaE. Pedrola
9,FC Barcelona,Barça Juv A,-,Lamine YamalLamine Yamal
10,FC Barcelona,Valencia CF,Fin de préstamo 30/06/2023,Nico GonzálezN. González
11,FC Barcelona,Elche CF,Fin de préstamo 30/06/2023,Álex ColladoÁ. Collado
12,FC Barcelona,Sporting Lisboa,Fin de préstamo 30/06/2023,TrincãoTrincão
13,FC Barcelona,Atlético Madrid,Fin de préstamo 30/06/2023,Antoine GriezmannA. Griezmann
14,FC Barcelona,Lecce,Fin de préstamo 30/06/2023,Samuel UmtitiS. Umtiti
15,FC Barcelona,AC Milan,Fin de préstamo 30/06/2023,Sergiño DestS. Dest
16,FC Barcelona,CA Osasuna,Fin de préstamo 30/06/2023,Abde EzzalzouliA. Ezzalzouli
17,FC Barcelona,Tottenham,Fin de préstamo 30/06/2023,Clément LengletC. Lenglet
0,PSG,FC Barcelona,"50,00 mill. €",Ousmane DembéléO. Dembélé
1,Atlético Madrid,FC Barcelona,"20,00 mill. €",Antoine GriezmannA. Griezmann
2,Al-Ahli,FC Barcelona,"12,50 mill. €",Franck KessiéF. Kessié
3,Oporto,FC Barcelona,"8,40 mill. €",Nico GonzálezN. González
4,Real Betis,FC Barcelona,"7,50 mill. €",Abde EzzalzouliA. Ezzalzouli
5,Sporting Lisboa,FC Barcelona,"7,00 mill. €",TrincãoTrincão
6,Real Betis,FC Barcelona,Libre,Álex ColladoÁ. Collado
7,Lille,FC Barcelona,Libre,Samuel UmtitiS. Umtiti
8,Inter Miami,FC Barcelona,Libre,Sergio BusquetsS. Busquets
9,Inter Miami,FC Barcelona,Libre,Jordi AlbaJ. Alba
10,Real Betis,FC Barcelona,Préstamo,Chadi RiadC. Riad
11,Sampdoria,FC Barcelona,Préstamo,Estanis PedrolaE. Pedrola
12,Girona FC,FC Barcelona,Préstamo,Eric GarcíaE. García
13,Brighton,FC Barcelona,Préstamo,Ansu FatiAnsu Fati
14,PSV Eindhoven,FC Barcelona,Préstamo,Sergiño DestS. Dest
15,Levante UD,FC Barcelona,Préstamo,Álex ValleÁ. Valle
16,UD Las Palmas,FC Barcelona,Préstamo,Julián AraujoJ. Araujo
17,Girona FC,FC Barcelona,Préstamo,Pablo TorreP. Torre
18,Aston Villa,FC Barcelona,Préstamo,Clément LengletC. Lenglet
0,Girona FC,SK Dnipro-1,"7,75 mill. €",Artem DovbykA. Dovbyk
1,Girona FC,Atl. Nacional,"6,00 mill. €",Jhon SolísJ. Solís
2,Girona FC,Manchester City,"5,00 mill. €",Yangel HerreraY. Herrera
3,Girona FC,Villarreal CF,"2,00 mill. €",Iván MartínI. Martín
4,Girona FC,Getafe CF,"1,50 mill. €",PortuPortu
5,Girona FC,Bayern Múnich,Libre,Daley BlindD. Blind
6,Girona FC,Fulham,Libre,Paulo GazzanigaP. Gazzaniga
7,Girona FC,FC Barcelona,Préstamo,Pablo TorreP. Torre
8,Girona FC,Troyes,Préstamo,SávioSávio
9,Girona FC,FC Barcelona,Préstamo,Eric GarcíaE. García
10,Girona FC,Real Oviedo,Fin de préstamo 30/06/2023,Manu VallejoM. Vallejo
11,Girona FC,Villarreal CF,Fin de préstamo 30/06/2023,Ramón TerratsR. Terrats
12,Girona FC,FC Cartagena,Fin de préstamo 30/06/2023,Óscar UreñaÓ. Ureña
13,Girona FC,Lommel SK,Fin de préstamo 30/06/2023,Eric MonjonellE. Monjonell
14,Girona FC,CE Sabadell,Fin de préstamo 30/06/2023,Álex SalaÁ. Sala
15,Girona FC,CE Sabadell,Fin de préstamo 30/06/2023,Pau VíctorP. Víctor
16,Girona FC,Real Murcia,Fin de préstamo 30/06/2023,Arnau OrtizA. Ortiz
17,Girona FC,San Fernando CD,Fin de préstamo 30/06/2023,Ilyas ChairaI. Chaira
18,Girona FC,San Fernando CD,Fin de préstamo 30/06/2023,Gabri MartínezG. Martínez
0,Wolverhampton,Girona FC,"12,00 mill. €",Santiago BuenoS. Bueno
1,FC Barcelona,Girona FC,"3,40 mill. €",Oriol RomeuO. Romeu
2,Villarreal CF,Girona FC,"2,50 mill. €",Ramón TerratsR. Terrats
3,CD Leganés,Girona FC,Préstamo,Óscar UreñaÓ. Ureña
4,Barça Atlètic,Girona FC,Préstamo,Pau VíctorP. Víctor
5,CD Eldense,Girona FC,Préstamo,Arnau OrtizA. Ortiz
6,Real Zaragoza,Girona FC,Préstamo,Manu VallejoM. Vallejo
7,Córdoba CF,Girona FC,Préstamo,Álex SalaÁ. Sala
8,CD Mirandés,Girona FC,Préstamo,Gabri MartínezG. Martínez
9,CD Mirandés,Girona FC,Préstamo,Ilyas ChairaI. Chaira
10,Villarreal CF,Girona FC,Fin de préstamo 30/06/2023,Iván MartínI. Martín
11,Fulham,Girona FC,Fin de préstamo 30/06/2023,Paulo GazzanigaP. Gazzaniga
12,CD Leganés,Girona FC,Fin de préstamo 30/06/2023,Javi HernándezJ. Hernández
13,Manchester City,Girona FC,Fin de préstamo 30/06/2023,Yangel HerreraY. Herrera
14,Atlético Madrid,Girona FC,Fin de préstamo 30/06/2023,Rodrigo RiquelmeR. Riquelme
15,New York City,Girona FC,Fin de préstamo 30/06/2023,Taty CastellanosT. Castellanos
0,CA Osasuna,Real Betis,"6,50 mill. €",Raúl GarcíaR. García
1,CA Osasuna,Rayo Vallecano,Libre,Alejandro CatenaA. Catena
2,CA Osasuna,CD Leganés,Libre,José Manuel ArnáizJ. Arnáiz
3,CA Osasuna,Villarreal CF,Préstamo,Johan MojicaJ. Mojica
4,CA Osasuna,Osasuna Prom.,-,Iker MuñozI. Muñoz
5,CA Osasuna,Osasuna Prom.,-,Jorge HerrandoJ. Herrando
6,CA Osasuna,Osasuna Prom.,-,Diego MorenoD. Moreno
7,CA Osasuna,Osasuna Prom.,-,Iker BenitoI. Benito
8,CA Osasuna,SD Huesca,Fin de préstamo 30/06/2023,Javi MartínezJ. Martínez
9,CA Osasuna,Burgos CF,Fin de préstamo 30/06/2023,Jesús AresoJ. Areso
0,Alavés,CA Osasuna,Libre,Kike GarcíaK. García
1,Rayo Vallecano,CA Osasuna,Libre,Aridane HernándezA. Hernández
2,SD Huesca,CA Osasuna,Préstamo,Javi MartínezJ. Martínez
3,FC Andorra,CA Osasuna,Préstamo,Iker BenitoI. Benito
4,CD Mirandés,CA Osasuna,Préstamo,Diego MorenoD. Moreno
5,FC Barcelona,CA Osasuna,Fin de préstamo 30/06/2023,Abde EzzalzouliA. Ezzalzouli
6,Atlético Madrid,CA Osasuna,Fin de préstamo 30/06/2023,Manu SánchezM. Sánchez
0,Real Betis,FC Barcelona,"7,50 mill. €",Abde EzzalzouliA. Ezzalzouli
1,Real Betis,Getafe CF,"2,00 mill. €",Sergi AltimiraS. Altimira
2,Real Betis,Sporting Lisboa,Libre,Héctor BellerínH. Bellerín
3,Real Betis,FC Barcelona,Libre,Álex ColladoÁ. Collado
4,Real Betis,Trabzonspor,Libre,Marc BartraM. Bartra
5,Real Betis,Leicester City,Libre,Ayoze PérezA. Pérez
6,Real Betis,FC Barcelona,Préstamo,Chadi RiadC. Riad
7,Real Betis,Leeds,Préstamo,Marc RocaMarc Roca
8,Real Betis,Sin equipo,-,IscoIsco
9,Real Betis,Betis Deportivo,-,Félix GarretaF. Garreta
10,Real Betis,Betis Deportivo,-,Juan CruzJuan Cruz
11,Real Betis,CD Mirandés,Fin de préstamo 30/06/2023,Raúl GarcíaR. García
12,Real Betis,UD Las Palmas,Fin de préstamo 30/06/2023,Loren MorónL. Morón
13,Real Betis,Tigres UANL,Fin de préstamo 31/07/2023,Diego LainezD. Lainez
14,Real Betis,Alavés,Fin de préstamo 30/06/2023,Rober GonzálezR. González
0,Monterrey,Real Betis,"10,00 mill. €",Sergio CanalesS. Canales
1,CA Osasuna,Real Betis,"6,50 mill. €",Raúl GarcíaR. García
2,Tigres UANL,Real Betis,"6,00 mill. €",Diego LainezD. Lainez
3,UD Almería,Real Betis,"4,50 mill. €",Edgar GonzálezE. González
4,Lyon,Real Betis,"3,00 mill. €",Paul AkouokouP. Akouokou
5,Al-Riyadh,Real Betis,"Coste de préstamo: 1,00 mill. €",JuanmiJuanmi
6,Aris Salónica,Real Betis,Libre,Martín MontoyaM. Montoya
7,Aris Salónica,Real Betis,Libre,Loren MorónL. Morón
8,FC Andorra,Real Betis,Libre,Dani MartínD. Martín
9,Al-Okhdood,Real Betis,Préstamo,Álex ColladoÁ. Collado
10,SD Amorebieta,Real Betis,Préstamo,Félix GarretaF. Garreta
11,NEC Nijmegen,Real Betis,Préstamo,Rober GonzálezR. González
12,Sin equipo,Real Betis,-,Víctor RuizV. Ruiz
13,Retirado,Real Betis,-,JoaquínJoaquín
14,Leicester City,Real Betis,Fin de préstamo 30/06/2023,Ayoze PérezA. Pérez
0,Real Madrid,Bor. Dortmund,"103,00 mill. €",Jude BellinghamJ. Bellingham
1,Real Madrid,Fenerbahce,"20,00 mill. €",Arda GülerA. Güler
2,Real Madrid,Rayo Vallecano,"5,00 mill. €",Fran GarcíaF. García
3,Real Madrid,Chelsea,"Coste de préstamo: 1,00 mill. €",Kepa ArrizabalagaK. Arrizabalaga
4,Real Madrid,RCD Espanyol,Coste de préstamo: 500 mil €,JoseluJoselu
5,Real Madrid,RM Castilla,-,Rafa MarínR. Marín
6,Real Madrid,Alavés,Fin de préstamo 30/06/2023,Antonio BlancoA. Blanco
7,Real Madrid,AC Milan,Fin de préstamo 30/06/2023,Brahim DíazB. Díaz
0,Alavés,Real Madrid,"4,00 mill. €",Antonio BlancoA. Blanco
